CUE #/NAME (symbol),TAKE # (Int),A VID # (int),A POS % (float),A SPEED (float),A ZOOM (float),A FLIP (int),A DB (float),A PRESERVE PITCH (int),B VID # (int),B POS % (float),B SPEED (float),B ZOOM (float),B FLIP (int),B DB (float),B PRESERVE PITCH (int),C VID # (int),C POS % (float),C SPEED (float),C ZOOM (float),C FLIP (int),C DB (float),C PRESERVE PITCH (int),D VID # (int),D POS % (float),D SPEED (float),D ZOOM (float),D FLIP (int),D DB (float),D PRESERVE PITCH (int),E VID # (int),E POS % (float),E SPEED (float),E ZOOM (float),E FLIP (int),E DB (float),E PRESERVE PITCH (int),SCRIPT POS (symbol),REH CAM POS (symbol),DATE (symbol),LIZ LIKED? (symbol),COMMENTS (symbol),AUDIO MATRIX STATE (list),GLOBAL RW/FF SPEED (float)
51,1,3,88.80000305175781,1,100,1,0,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,Alright so I just would like to say that the emphasis in this, , , , ,0 0 1 1 0 0 2 0 0 3 0 0 4 0 0 0 1 0 1 1 1 2 1 0 3 1 0 4 1 0 0 2 0 1 2 0 2 2 0 3 2 0 4 2 0 0 3 0 1 3 0 2 3 0 3 3 0 4 3 0 0 4 0 1 4 0 2 4 0 3 4 0 4 4 0 0 5 0 1 5 0 2 5 0 3 5 0 4 5 0 ,n
51.5,1,6,5,1,100,1,0,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,4,81.5,1,0,0,0,n,n,n,n,n,n,n,n, , , , , ,0 0 1 1 0 0 2 0 0 3 0 0 4 0 0 0 1 0 1 1 0 2 1 0 3 1 1 4 1 0 0 2 0 1 2 0 2 2 0 3 2 0 4 2 0 0 3 0 1 3 0 2 3 0 3 3 0 4 3 0 0 4 0 1 4 0 2 4 0 3 4 0 4 4 0 0 5 0 1 5 0 2 5 0 3 5 0 4 5 0 ,n
50.5,1,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,4,80.1800003052,1,0,0,0,n,n,n,n,n,n,n,n,So the question I would ask Jill Johnston is 0 What is she going to do about all us 90 percenters?, , , , ,0 0 1 1 0 0 2 0 0 3 0 0 4 0 0 0 1 0 1 1 0 2 1 0 3 1 1 4 1 0 0 2 0 1 2 0 2 2 0 3 2 0 4 2 0 0 3 0 1 3 0 2 3 0 3 3 0 4 3 0 0 4 0 1 4 0 2 4 0 3 4 0 4 4 0 0 5 0 1 5 0 2 5 0 3 5 0 4 5 0 ,n
17,1,2,52.68000030517578,1 0,100,1,0,n,0,n,n,n,n,n,n,0,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n, ,s,s,s,s,0 0 1 1 0 0 2 0 0 3 0 0 4 0 0 0 1 1 1 1 0 2 1 0 3 1 0 4 1 0 0 2 0 1 2 0 2 2 0 3 2 0 4 2 0 0 3 1 1 3 0 2 3 0 3 3 0 4 3 0 0 4 0 1 4 0 2 4 0 3 4 0 4 4 0 0 5 0 1 5 0 2 5 0 3 5 0 4 5 0 ,n
32,1,5,25.3400001526,1,100,1,0,n,9,14.1400003433,1,100,1,0,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,The element in women's liberation 0 both liberal as personified by NOW // Brings Tokyo tape IN A BUS, , , , ,0 0 1 1 0 0 2 0 0 3 0 0 4 0 0 0 1 1 1 1 0 2 1 0 3 1 0 4 1 0 0 2 0 1 2 0 2 2 0 3 2 0 4 2 0 0 3 0 1 3 1 2 3 0 3 3 0 4 3 0 0 4 0 1 4 0 2 4 0 3 4 0 4 4 0 0 5 0 1 5 0 2 5 0 3 5 0 4 5 0 ,n
8,1,5,1.809999942779541,1,100,1,0,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,I was conflicted over the whole thing GO, , , , ,0 0 1 1 0 0 2 0 0 3 0 0 4 0 0 0 1 1 1 1 0 2 1 0 3 1 0 4 1 0 0 2 0 1 2 0 2 2 0 3 2 0 4 2 0 0 3 0 1 3 1 2 3 0 3 3 0 4 3 0 0 4 0 1 4 0 2 4 0 3 4 0 4 4 0 0 5 0 1 5 0 2 5 0 3 5 0 4 5 0 ,n
16.5,1,5,2.5399999618530273,1,100,1,0,n,9,2,1,100,1,0,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n, , , , , ,0 0 1 1 0 0 2 0 0 3 0 0 4 0 0 0 1 0 1 1 0 2 1 0 3 1 1 4 1 0 0 2 0 1 2 0 2 2 0 3 2 0 4 2 0 0 3 0 1 3 1 2 3 0 3 3 0 4 3 0 0 4 0 1 4 0 2 4 0 3 4 0 4 4 0 0 5 0 1 5 0 2 5 0 3 5 0 4 5 0 ,n
6,1,2,20.450000762939453,1 0,100,1,0,n,8,75.68000030517578,1 0,120,1,-9.940763473510742,n,6,0.08900000154972076,1 0,100,1,0,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,They were waiting at the table,s,s,s,s,0 0 0 1 0 1 2 0 0 3 0 0 4 0 0 0 1 0 1 1 1 2 1 0 3 1 0 4 1 0 0 2 0 1 2 0 2 2 0 3 2 0 4 2 0 0 3 1 1 3 0 2 3 0 3 3 0 4 3 0 0 4 0 1 4 0 2 4 0 3 4 0 4 4 0 0 5 0 1 5 0 2 5 0 3 5 0 4 5 0 ,n
16.75,1,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,15,6.159999847412109,1,0,n,0,n,n,n,n,n,n,n,n,Mailer: and the four ladies were listed, , , , ,0 0 1 1 0 0 2 0 0 3 0 0 4 0 0 0 1 0 1 1 0 2 1 0 3 1 1 4 1 0 0 2 0 1 2 0 2 2 0 3 2 0 4 2 0 0 3 0 1 3 1 2 3 0 3 3 0 4 3 0 0 4 0 1 4 0 2 4 0 3 4 0 4 4 0 0 5 0 1 5 0 2 5 0 3 5 0 4 5 0 ,n
MAIDSTONE,1,1,77.5199966431,1,100,1,0,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,The element in women's liberation 0 both liberal as personified by NOW // Brings Tokyo tape IN A BUS, , , , ,0 0 1 1 0 0 2 0 0 3 0 0 4 0 0 0 1 1 1 1 0 2 1 0 3 1 0 4 1 0 0 2 0 1 2 0 2 2 0 3 2 0 4 2 0 0 3 1 1 3 0 2 3 0 3 3 0 4 3 0 0 4 0 1 4 0 2 4 0 3 4 0 4 4 0 0 5 0 1 5 0 2 5 0 3 5 0 4 5 0 ,n
31,1,n,n,n,n,n,n,n,1,76.58000183105469,0 0,100,1,8.43847370147705,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,MAIDSTONE,s,s,s,s,0 0 1 1 0 0 2 0 0 3 0 0 4 0 0 0 1 1 1 1 0 2 1 0 3 1 0 4 1 0 0 2 0 1 2 0 2 2 0 3 2 0 4 2 0 0 3 1 1 3 0 2 3 0 3 3 0 4 3 0 0 4 0 1 4 0 2 4 0 3 4 0 4 4 0 0 5 0 1 5 0 2 5 0 3 5 0 4 5 0 ,n
31.5,1,3,5.210000038146973,1,100,1,0,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,The sentiments were exquisite, , , , ,0 0 0 1 0 1 2 0 0 3 0 0 4 0 0 0 1 1 1 1 0 2 1 0 3 1 0 4 1 0 0 2 0 1 2 0 2 2 0 3 2 0 4 2 0 0 3 1 1 3 0 2 3 0 3 3 0 4 3 0 0 4 0 1 4 0 2 4 0 3 4 0 4 4 0 0 5 0 1 5 0 2 5 0 3 5 0 4 5 0 ,n
37,1,5,34.88999938964844,1,100,1,0,n,9,2.049999952316284,1,100,1,0,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,RETURN to Ah I S'pose I should be leaning on my sword + Brings in Tokyo tape (mov 9), , , , ,0 0 1 1 0 0 2 0 0 3 0 0 4 0 0 0 1 1 1 1 0 2 1 0 3 1 0 4 1 0 0 2 0 1 2 0 2 2 0 3 2 0 4 2 0 0 3 0 1 3 1 2 3 0 3 3 0 4 3 0 0 4 0 1 4 0 2 4 0 3 4 0 4 4 0 0 5 0 1 5 0 2 5 0 3 5 0 4 5 0 ,n
